##name	300 random entrie from Aryanpour (2021) (en-fa, fa-en)
##input_file_size	63187
##edition	2021.01.02
##copyright	Licensed under the <a href="https://creativecommons.org/licenses/by-sa/3.0/legalcode">Creative Commons Attribution-ShareAlike 3.0 Unported</a> license
##publisher	Saeed Rasooli
##creationTime	2020-12-07
##sourceLang	English
##targetLang	Persian
road	<div>/<font color="gray">rōd</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br><ol><li>راه، جاده، ره، صراطa dirt roadجادهٔ خاکیa paved roadجادهٔ آسفالته (یا سنگفرش شده)the Chaloos roadراه چالوس</li><li>(معمولا در خارج از شهر) خیابان</li><li>(مخفف) رجوع شود به:<a href="bword://rail road">rail road</a></li><li>(معمولا جمع) رجوع شود به:<a href="bword://roadstead">roadstead</a></li><li>رجوع شود به:<a href="bword://roadway">roadway</a></li><li>(مجازی) دستیابی، راه طریق، طریقه، طریقت، شیوه، وسیلهthe road to fortuneراه دستیابی به ثروتeducation is the road to successتحصیل راه موفقیت است.* by roadبا ماشین، از طریق جادهthe trip takes four hours by train and five by roadاین مسافرت با ترن‌چهار ساعت و با ماشین پنج ساعت طول می‌کشد.* get (something) on the road(چیزی را) آغاز کردن، راه انداختن* one for the roadآخرین مشروب قبل از عزیمت* on the roadدر سفر، در حرکت، در تحرکher father is on the road most of the timeپدرش بیشتر اوقات در سفر است.* road safetyایمنی در راه‌ها، (اتومبیلرانی با) رعایت احتیاط* take a high roadخود را بالاتر از دیگری دانستن، دست بالا را گرفتن، بزرگواری کردن* take to the roadولگرد شدن، ولگردی کردن، خانه به دوشی کردن* the road to hell is paved with good intentionsراه جهنم با نیت‌های خوب سنگفرش شده است</li></ol></div></div>
rock rabbit	<div><div dir="rtl"><ol><li>رجوع شود به:</li><li>hyrax</li><li>pika</li></ol></div></div>
saturnine	<div>/<font color="gray">sat´ǝr nīn´</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br><ol><li>(ستاره خوانی) زاییده شده تحت تاثیر کیوان</li><li>کم حرف، عبوس، گرفته، کج‌خلق</li><li>دچار مسمومیت سربی</li></ol></div></div>
self-sown	<div>/<font color="gray">-sōn´</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br>(تخم گیاه) خودافشانده (توسط باد یا آب ولی نه توسط انسان)</div></div>
shinsplints	<div>/<font color="gray">-splints´</font>/<br>\n<div dir="rtl"><font color="green">اسم،  جمع</font><br>(با فعل مفرد) گرفتگی و درد عضلات پا (در اثر دویدن زیاد و غیره)، درد ساق پا</div></div>
sightseeing	<div>/<font color="gray">-sē´iŋ</font>/<br>\n<div dir="rtl"><font color="green">اسم،  صفت</font><br>تماشای دیدنی‌ها(ی محل)، بازدید از جاهای دیدنی، گردش و بازدید وابسته به تماشای جاهای دیدنی، گردشیa sightseeing busاتوبوس گردشی</div></div>
silver standard	<div><div dir="rtl">نظام پولی بر مبنای نقره (نه طلا)، پایهٔ نقره</div></div>
sinuosity	<div>/<font color="gray">sin´yōō äs´ǝ tē</font>/<br>\n<div dir="rtl"><font color="green">اسم،  جمع</font><br><ol><li>کوهه‌داری، موج‌داری</li><li>حرکت موجی، تموج، کوهگی، خیزابگی</li></ol></div></div>
skag	<div>/<font color="gray">skag</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>رجوع شود به:<a href="bword://scag">scag</a></div></div>
snapshot	<div>/<font color="gray">snap´shät´</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br><ol><li>(تیراندازی یا پرتاپ گوی و غیره) پرتاب با شتاب (و بدون نشانه گیری)</li><li>عکس فوری، (با دوربین کوچک) عکس</li></ol></div></div>
soil bank	<div><div dir="rtl">(برنامهٔ دولت فدرال: کمک به کشاورزان جهت حفظ زمین‌های کشاورزی از فرسودگی و کشت بی‌رویه) بانک خاک</div></div>
spend	<div>/<font color="gray">spend</font>/<br>\n<div dir="rtl"><font color="green">فعل لازم،  فعل متعدی</font><br><ol><li>به پایان رساندن، تمام کردن، مصرف کردن، گساردن، تحلیل رفتن، فدا کردنhis patience was spentصبرش تمام شد.gradually his energy was spentکم کم رمق او تحلیل رفت.the strom spent itselfتوفان خود بخود فروکش کرد.he spent himself in the service of humanityخودش را وقف خدمت به بشریت کرد.</li><li>(پول) خرج کردنhe spent all of his moneyهمهٔ پولش را خرج کرد.how much did you spend?چقدر خرج کردی‌؟Zarry spends more than she earnsزری بیش از درآمدش خرج می‌کند.</li><li>(وقت) صرف کردن، گذراندن، سپری کردنI have spent five years on this bookپنج سال صرف نوشتن این کتاب کرده‌ام.Hossein spends his summers in Ghamsarحسین تابستان های خود را در قمصر می‌گذراند.to spend an evening with friendsشبی را با دوستان سپری کردن</li><li>(پول یا وقت) حرام کردن، هدر دادن</li><li>(مهجور) نحیف و رنجور شدن</li></ol></div></div>
strong-minded	<div>/<font color="gray">-mīn´did</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br>مصمم، پر اراده</div></div>
syconium	<div>/<font color="gray">sī kō´nē ǝm</font>/<br>\n<div dir="rtl"><font color="green">اسم،  جمع</font><br>(گیاه شناسی) میوهٔ انجیر مانند، میوهٔ انجیری، انجیرواره</div></div>
taproot	<div>/<font color="gray">tap´rōōt´</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>ریشهٔ اصلی گیاه، راست ریشه، کلان‌ریشه</div></div>
teak	<div>/<font color="gray">tēk</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br><ol><li>(گیاه شناسی) درخت ساج، پیچ اناری هندی (Tectona grandis از خانوادهٔ verbena)</li><li>چوب ساج (که محکم و به رنگ قهوه‌ای مایل به زرد است - teakwood هم می‌گویند)</li></ol></div></div>
terrestrial	<div>/<font color="gray">tǝ res´trē ǝl</font>/<br>\n<div dir="rtl"><font color="green">صفت،  اسم</font><br><ol><li>این‌جهانی، دنیوی</li><li>خاکی، خشکی، زمینی (در برابر: آبی یا هوایی)، زمین‌زی، خاکزیterrestrial animalsجانوران زمینی</li><li>وابسته به کرهٔ زمینthis terrestrial ballاین گوی خاکی (کرهٔ زمین)</li><li>وابسته به نخستین چهار سیارهٔ منظومهٔ شمسی (عطارد و زهره و مریخ و زمین)</li><li>ساکن کره‌زمین، اهل این دنیا</li></ol></div></div>
title role|title part|title character	<div><div dir="rtl">(نمایش و فیلم و غیره) شخصیتی که نام او با نام فیلم یا نمایش یکی است، نقش اول، نقش اصلی</div></div>
toluyl	<div>/<font color="gray">täl´yōō il</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>(بنیان CH3C6H5CO) تلوئیل</div></div>
tumultuary	<div>/<font color="gray">tōō mul´chōō er´ē</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br><ol><li>نامرتب، در هم ریخته، نامنظم، بی‌سامان</li><li>رجوع شود به:<a href="bword://tumultuous">tumultuous</a></li></ol></div></div>
turncoat	<div>/<font color="gray">tu_rn´kōt´</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>خائن، عهد شکن، دشمن گرای</div></div>
unconnected	<div>/<font color="gray">-kǝ nekt´id</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br><ol><li>جدا، نامتصل، وصل نشده، ناهمبند، ناهمبسته، نامرتبط</li><li>نامربوط، جفنگ، بی سر و ته، نامنسجم</li></ol></div></div>
urticaria	<div>/<font color="gray">u_rt´i ker´ēǝ</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>(پزشکی) کهیر</div></div>
uveitis	<div>/<font color="gray">yōō´vē īt´is</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>(پزشکی) تورم رنگینهٔ چشم، رنگینه‌تبسی، التهاب مشیمیه</div></div>
whipping	<div>/<font color="gray">hwip´iŋ</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br><ol><li>شلاق‌زنی، چوب‌کاری</li><li>طناب تابیده (برای بسته‌بندی یا ساختن شلاق)</li></ol></div></div>
womb	<div>/<font color="gray">wōōm</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br><ol><li>(در اصل) شکم</li><li>زهدان، رحم، گویک، بوگان، آبسته، بچه‌دان</li><li>(مجازی) زادگاه، رستنگاه، بطن، منشاthat university become the womb of new scientific ideasآن دانشگاه زادگاه عقاید نوین علمی شد.* from the womb to the tombاز بطن مادر تا دل خاک، از تولد تا مرگ، از آغاز تا پایان</li></ol></div></div>
yellowthroat	<div>/<font color="gray">-thrōt´</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>(جانورشناسی) زرد گردن (چکاوک بومی امریکا از جنس Geothlypis)</div></div>
آب‌ طلا زدن‌	<div><div><a href="bword://gild">gild</a></div></div>
آدم‌ بی‌ ارزش‌	<div><div><a href="bword://nothing">nothing</a></div></div>
آرا	<div><div><a href="bword://vote">vote</a></div></div>
آزرده‌ شدن‌	<div><div><a href="bword://resent">resent</a></div></div>
آشوب‌ آفرین‌	<div><div><a href="bword://firebrand">firebrand</a></div></div>
آمار شناس‌	<div><div><a href="bword://statistician">statistician</a></div></div>
آماسش‌	<div><div><a href="bword://excrescence">excrescence</a></div></div>
از بیخ‌ کندن‌	<div><div><a href="bword://extirpate">extirpate</a></div></div>
اسب‌ نر	<div><div><a href="bword://stallion">stallion</a></div></div>
استان‌ کبک‌	<div><div><a href="bword://Quebec">Quebec</a></div></div>
اصل‌ سرمایه‌	<div><div><a href="bword://principal">principal</a></div></div>
اعتراف‌ کننده‌	<div><div><a href="bword://confessor">confessor</a></div></div>
افزایش‌ مزد	<div><div><a href="bword://hike">hike</a></div></div>
الکلی‌ (خودمانی‌)	<div><ol><li><div><a href="bword://lush">lush</a></div></li><li><div><a href="bword://juicer">juicer</a></div></li><li><div><a href="bword://soak">soak</a></div></li></ol></div>
اندخسواره‌	<div><div><a href="bword://shelter">shelter</a></div></div>
انگشت‌ کوچک‌ دست‌	<div><ol><li><div><a href="bword://little finger">little finger</a></div></li><li><div><a href="bword://pinkie">pinkie</a></div></li></ol></div>
انگیزنده‌	<div><div><a href="bword://intriguing">intriguing</a></div></div>
اهل‌ چرت‌ وپرت‌ گفتن‌	<div><div><a href="bword://rambler">rambler</a></div></div>
اولین‌ روز کار بعد از عید کریسمس‌	<div><div><a href="bword://Boxing Day">Boxing Day</a></div></div>
ایلچی‌ گری‌	<div><div><a href="bword://embassy">embassy</a></div></div>
با صدای‌ زیر و گوشخراش‌	<div><div>screechy</div></div>
با پای‌ خشک‌ (قدیمی‌)	<div><div><a href="bword://dry-shod">dry-shod</a></div></div>
باد و بروت‌	<div><div><a href="bword://vanity">vanity</a></div></div>
بدل‌ چینی‌	<div><div><a href="bword://faience">faience</a></div></div>
برخوردن‌ به‌	<div><ol><li><div><a href="bword://hit">hit</a></div></li><li><div><a href="bword://meet">meet</a></div></li><li><div><a href="bword://receive">receive</a></div></li></ol></div>
برزن‌	<div><ol><li><div><a href="bword://district">district</a></div></li><li><div><a href="bword://neighborhood">neighborhood</a></div></li><li><div><a href="bword://parish">parish</a></div></li><li><div><a href="bword://ward">ward</a></div></li></ol></div>
برنامه‌ چاپ‌ شده‌ نمایش‌ و غیره‌	<div><div><a href="bword://bill">bill</a></div></div>
به‌ جهت‌	<div><ol><li><div><a href="bword://for">for</a></div></li><li><div><a href="bword://to">to</a></div></li></ol></div>
به‌ شوخی‌ گرفتن‌	<div><div><a href="bword://trifle">trifle</a></div></div>
به‌ صورت‌ یدک‌	<div><div><a href="bword://tandem">tandem</a></div></div>
به‌ طور دستی‌	<div><div>manually</div></div>
به‌ طور نابرابر	<div><div>unevenly</div></div>
به‌ هم‌ زنجیر کردن‌	<div><div><a href="bword://interlink">interlink</a></div></div>
بیان‌ کردن‌	<div><ol><li><div><a href="bword://bid">bid</a></div></li><li><div><a href="bword://conceive">conceive</a></div></li><li><div><a href="bword://convey">convey</a></div></li><li><div><a href="bword://depict">depict</a></div></li><li><div><a href="bword://explain">explain</a></div></li><li><div><a href="bword://explicate">explicate</a></div></li><li><div><a href="bword://express">express</a></div></li><li><div><a href="bword://illustrate">illustrate</a></div></li><li><div><a href="bword://indicate">indicate</a></div></li><li><div><a href="bword://limn">limn</a></div></li><li><div><a href="bword://paint">paint</a></div></li><li><div><a href="bword://phrase">phrase</a></div></li><li><div><a href="bword://put">put</a></div></li><li><div><a href="bword://qualify">qualify</a></div></li><li><div><a href="bword://represent">represent</a></div></li><li><div><a href="bword://say">say</a></div></li><li><div><a href="bword://speak">speak</a></div></li><li><div><a href="bword://state">state</a></div></li><li><div><a href="bword://talk">talk</a></div></li><li><div><a href="bword://tell">tell</a></div></li><li><div><a href="bword://vent">vent</a></div></li><li><div><a href="bword://verbalize">verbalize</a></div></li><li><div><a href="bword://vocalize">vocalize</a></div></li><li><div><a href="bword://word">word</a></div></li></ol></div>
بیزار از دوربین‌	<div><div><a href="bword://camera-shy">camera-shy</a></div></div>
بیش‌ از حد انتظار	<div><div><a href="bword://supererogatory">supererogatory</a></div></div>
بیمارانه‌	<div><div><a href="bword://sick">sick</a></div></div>
بی‌ تقوا	<div><div><a href="bword://impious">impious</a></div></div>
تاج‌ گل‌ به‌ نشان‌ افتخار	<div><div><a href="bword://crown">crown</a></div></div>
تارها و الیاف‌ کنف‌ (گیاه‌ شناسی‌)	<div><div><a href="bword://hemp">hemp</a></div></div>
تعیین‌	<div><ol><li><div><a href="bword://assignment">assignment</a></div></li><li><div><a href="bword://designation">designation</a></div></li><li><div><a href="bword://determination">determination</a></div></li></ol></div>
تمایل‌ طبیعی‌	<div><div><a href="bword://aptitude">aptitude</a></div></div>
تندیس‌ مانند	<div><div><a href="bword://statuesque">statuesque</a></div></div>
تهمت‌ بی‌ جا	<div><div><a href="bword://defamation">defamation</a></div></div>
تیر ریزی‌ کردن‌	<div><div><a href="bword://frame">frame</a></div></div>
تیره‌ پشت‌ و دنده‌ های‌ شاه‌ ماهی‌	<div><div><a href="bword://herringbone">herringbone</a></div></div>
جاگیری‌ (کامپیوتر)	<div><div><a href="bword://footprint">footprint</a></div></div>
جدایی‌ طلبانه‌	<div><div><a href="bword://separatist">separatist</a></div></div>
جفت‌ شدن‌ (نجاری‌)	<div><div><a href="bword://rabbet">rabbet</a></div></div>
جیمز مونرو	<div><div><a href="bword://Monroe">Monroe</a></div></div>
حسابدار مجاز	<div><div><a href="bword://chartered accountant">chartered accountant</a></div></div>
خشمگین‌ کردن‌	<div><ol><li><div><a href="bword://anger">anger</a></div></li><li><div><a href="bword://enrage">enrage</a></div></li><li><div><a href="bword://exasperate">exasperate</a></div></li><li><div><a href="bword://incense">incense</a></div></li><li><div><a href="bword://irritate">irritate</a></div></li><li><div><a href="bword://madden">madden</a></div></li><li><div><a href="bword://offend">offend</a></div></li><li><div><a href="bword://overcloud">overcloud</a></div></li><li><div><a href="bword://provoke">provoke</a></div></li><li><div><a href="bword://roil">roil</a></div></li></ol></div>
خم‌	<div><ol><li><div><a href="bword://atilt">atilt</a></div></li><li><div><a href="bword://bend">bend</a></div></li><li><div><a href="bword://bent">bent</a></div></li><li><div><a href="bword://cask">cask</a></div></li><li><div><a href="bword://inclined">inclined</a></div></li><li><div><a href="bword://vat">vat</a></div></li></ol></div>
خنده‌ داری‌	<div><ol><li><div>funniness</div></li><li><div><a href="bword://humor">humor</a></div></li></ol></div>
خنک‌	<div><ol><li><div><a href="bword://cool">cool</a></div></li><li><div><a href="bword://flat">flat</a></div></li><li><div><a href="bword://vapid">vapid</a></div></li></ol></div>
دارای‌ محاسن‌ بیشتر	<div><div><a href="bword://favored">favored</a></div></div>
در رفتن‌ (بافندگی‌)	<div><div><a href="bword://unravel">unravel</a></div></div>
در پایین‌	<div><div><a href="bword://inferior">inferior</a></div></div>
درآوردن‌ هسته‌ میوه‌	<div><div><a href="bword://core">core</a></div></div>
دریافت‌ کننده‌ حقوق‌ بازنشستگی‌	<div><div><a href="bword://pensioner">pensioner</a></div></div>
دنبال‌ خود کشیدن‌ و بردن‌ چیز سنگین‌	<div><div><a href="bword://lug">lug</a></div></div>
دورافتاده‌ ترین‌	<div><div><a href="bword://outmost">outmost</a></div></div>
دورین‌ گاه‌	<div><div><a href="bword://aphelion">aphelion</a></div></div>
دچار ناراحتی‌ وجدان‌	<div><div><a href="bword://conscience-stricken">conscience-stricken</a></div></div>
دیوسانی‌	<div><div>giantess</div></div>
راننده‌ قایق‌	<div><ol><li><div><a href="bword://helmsman">helmsman</a></div></li><li><div><a href="bword://punter">punter</a></div></li></ol></div>
رخپوشی‌ کردن‌	<div><div><a href="bword://veil">veil</a></div></div>
رستم‌	<div><div><a href="bword://robust">robust</a></div></div>
رسیدن‌ به‌ و گذشتن‌ از (رانندگی‌ یا مسابقه‌ و غیره‌)	<div><div><a href="bword://overtake">overtake</a></div></div>
رشکمندی‌	<div><div><a href="bword://jealousy">jealousy</a></div></div>
رشک‌	<div><ol><li><div><a href="bword://envy">envy</a></div></li><li><div><a href="bword://jealousy">jealousy</a></div></li></ol></div>
رفتار منصفانه‌	<div><div><a href="bword://plain dealing">plain dealing</a></div></div>
رفع‌ تکلیف‌ کردن‌	<div><div><a href="bword://soldier">soldier</a></div></div>
رنگ‌ گیری‌	<div><div><a href="bword://tattoo">tattoo</a></div></div>
روی‌ هم‌ افتادن‌ دو خط‌ (رادیو و تلفن‌)	<div><div><a href="bword://cross talk">cross talk</a></div></div>
ریزچه‌ ای‌	<div><div><a href="bword://particulate">particulate</a></div></div>
ریش‌ سپید	<div><ol><li><div><a href="bword://doyen">doyen</a></div></li><li><div><a href="bword://sage">sage</a></div></li></ol></div>
ریش‌دار شدن‌	<div><div><a href="bword://beard">beard</a></div></div>
زبر مو (گربه‌ و شیر و غیره‌)	<div><div><a href="bword://whisker">whisker</a></div></div>
زمین‌ - ساکن‌	<div><div><a href="bword://geostationary">geostationary</a></div></div>
زوک‌ زوک‌	<div><ol><li><div><a href="bword://prick">prick</a></div></li><li><div><a href="bword://shoot">shoot</a></div></li><li><div><a href="bword://throb">throb</a></div></li></ol></div>
زیبندگی‌ (عامیانه‌)	<div><div><a href="bword://flair">flair</a></div></div>
ساس‌ (جانور شناسی‌)	<div><ol><li><div><a href="bword://tick">tick</a></div></li><li><div><a href="bword://bedbug">bedbug</a></div></li></ol></div>
ساوانا	<div><ol><li><div><a href="bword://savanna">savanna</a></div></li><li><div><a href="bword://savannah">savannah</a></div></li></ol></div>
سخنران‌ اصلی‌	<div><div>keynoter</div></div>
سربازگیری‌	<div><div>recruitment</div></div>
سرش‌	<div><ol><li><div><a href="bword://coast">coast</a></div></li><li><div><a href="bword://skid">skid</a></div></li><li><div><a href="bword://slippage">slippage</a></div></li></ol></div>
سنجاقک‌ رنگین‌ (جانورشناسی‌)	<div><div><a href="bword://damselfly">damselfly</a></div></div>
سگ‌ کالی‌	<div><div><a href="bword://collie">collie</a></div></div>
سیاست‌ بازی‌	<div><div><a href="bword://politics">politics</a></div></div>
سیم‌ مهار	<div><div><a href="bword://stay">stay</a></div></div>
شاد نامه‌ ای‌	<div><div><a href="bword://comic">comic</a></div></div>
شجره‌ نامه‌	<div><ol><li><div><a href="bword://family tree">family tree</a></div></li><li><div><a href="bword://genealogy">genealogy</a></div></li><li><div><a href="bword://pedigree">pedigree</a></div></li><li><div><a href="bword://tree">tree</a></div></li></ol></div>
شن‌ مرد	<div><div><a href="bword://sandman">sandman</a></div></div>
شگفت‌آفرینی‌	<div><div><a href="bword://dazzle">dazzle</a></div></div>
شیار روی‌ صفحه‌ گرامافون‌	<div><div><a href="bword://track">track</a></div></div>
شیمه‌ جنین‌ (کالبد شناسی‌)	<div><div><a href="bword://amnion">amnion</a></div></div>
ضبط‌ کردن‌ روی‌ نوار ویدئو	<div><ol><li><div><a href="bword://tape">tape</a></div></li><li><div><a href="bword://videotape">videotape</a></div></li></ol></div>
ضربه‌ آغاز (تنیس‌ و والیبال‌)	<div><div><a href="bword://serve">serve</a></div></div>
طرح‌ ساختمانی‌ هر چیز	<div><div><a href="bword://architectonics">architectonics</a></div></div>
ظرف‌ فشاری‌	<div><div><a href="bword://siphon">siphon</a></div></div>
عار	<div><ol><li><div><a href="bword://disdain">disdain</a></div></li><li><div><a href="bword://shame">shame</a></div></li></ol></div>
عضو با سابقه‌ و مسئول‌ (کلیسا)	<div><div><a href="bword://presbyter">presbyter</a></div></div>
عقیم‌ بودن‌	<div><ol><li><div>barrennees</div></li><li><div>effeteness</div></li></ol></div>
غریو	<div><ol><li><div><a href="bword://applause">applause</a></div></li><li><div><a href="bword://clamor">clamor</a></div></li><li><div><a href="bword://ejaculation">ejaculation</a></div></li><li><div><a href="bword://hubbub">hubbub</a></div></li><li><div><a href="bword://roaring">roaring</a></div></li><li><div><a href="bword://shout">shout</a></div></li><li><div><a href="bword://uproar">uproar</a></div></li><li><div><a href="bword://whoop">whoop</a></div></li></ol></div>
غریویدن‌ با کف‌ زدن‌	<div><div><a href="bword://applaud">applaud</a></div></div>
غضروفی‌	<div><div><a href="bword://cartilaginous">cartilaginous</a></div></div>
غمض‌ عین‌	<div><div><a href="bword://condonation">condonation</a></div></div>
فراکافت‌ چونی‌ (شیمی‌)	<div><div><a href="bword://qualitative analysis">qualitative analysis</a></div></div>
فرمان‌ کشتن‌	<div><ol><li><div>death sentence</div></li><li><div><a href="bword://death warrant">death warrant</a></div></li></ol></div>
فلسفه‌ جبری‌ (الهیات‌)	<div><div><a href="bword://predestination">predestination</a></div></div>
فکر کردن‌ با حدث‌ و قیاس‌	<div><div><a href="bword://speculate">speculate</a></div></div>
قابل‌ تفکر	<div><div><a href="bword://thinkable">thinkable</a></div></div>
قبول‌ شدن‌ در امتحان‌	<div><div><a href="bword://pass">pass</a></div></div>
قشنگ‌ کردن‌	<div><div><a href="bword://prettify">prettify</a></div></div>
قطره‌	<div><ol><li><div>beads</div></li><li><div><a href="bword://drop">drop</a></div></li><li><div><a href="bword://globule">globule</a></div></li></ol></div>
قلپ‌ در نوشیدن‌ (عامیانه‌)	<div><div><a href="bword://swig">swig</a></div></div>
قوز کرده‌	<div><ol><li><div><a href="bword://slouchy">slouchy</a></div></li><li><div><a href="bword://squat">squat</a></div></li></ol></div>
قوم‌ شناس‌	<div><ol><li><div>ethnographer</div></li><li><div>ethnologist</div></li></ol></div>
لاما (جانور شناسی‌)	<div><div><a href="bword://llama">llama</a></div></div>
لب‌ زننده‌	<div><div>nibbler</div></div>
لم‌ یزرع‌	<div><ol><li><div><a href="bword://arid">arid</a></div></li><li><div><a href="bword://barren">barren</a></div></li></ol></div>
لیوان‌ پر	<div><div><a href="bword://glassful">glassful</a></div></div>
ماده‌ سگ‌ و گربه‌	<div><div><a href="bword://bitch">bitch</a></div></div>
متظاهرانه‌ در موعظه‌	<div><div><a href="bword://unctuous">unctuous</a></div></div>
مجبور (قدیمی‌)	<div><div><a href="bword://bounden">bounden</a></div></div>
محوطه‌ی‌ بزرگ‌	<div><div><a href="bword://galleria">galleria</a></div></div>
محکم‌ کشیدن‌ طناب‌	<div><div><a href="bword://draw">draw</a></div></div>
مرده‌ پوش‌	<div><div><a href="bword://body bag">body bag</a></div></div>
مزد پایه‌	<div><div><a href="bword://base pay">base pay</a></div></div>
مست‌ و خراب‌ (عامیانه‌)	<div><div><a href="bword://sozzled">sozzled</a></div></div>
مسطوره‌ گرفتن‌	<div><div><a href="bword://sample">sample</a></div></div>
مصدق‌	<div><div><a href="bword://voucher">voucher</a></div></div>
معلق‌ شدن‌	<div><ol><li><div><a href="bword://poise">poise</a></div></li><li><div><a href="bword://tumble">tumble</a></div></li></ol></div>
معلوم‌ و مشخص‌	<div><div><a href="bword://express">express</a></div></div>
ملیله‌ دوزی‌ کردن‌	<div><div><a href="bword://filigree">filigree</a></div></div>
منتشر کردن‌ اوراق‌ قرضه‌	<div><div><a href="bword://float">float</a></div></div>
مورد (گیاه‌ شناسی‌)	<div><div><a href="bword://myrtle">myrtle</a></div></div>
میزکار	<div><div><a href="bword://worktable">worktable</a></div></div>
میکروب‌ (عامیانه‌)	<div><div><a href="bword://bug">bug</a></div></div>
ناب‌ گرایی‌ (زبان‌ و ادبیات‌ و هنر)	<div><div><a href="bword://purism">purism</a></div></div>
نامبارکی‌	<div><div><a href="bword://infelicity">infelicity</a></div></div>
ناکاستنی‌	<div><div><a href="bword://irreducible">irreducible</a></div></div>
نسبتا مسطح‌	<div><div><a href="bword://flattish">flattish</a></div></div>
نسبتا پیر	<div><div><a href="bword://oldish">oldish</a></div></div>
نقاهت‌	<div><div><a href="bword://convalescence">convalescence</a></div></div>
هیچ‌ وقت‌	<div><div><a href="bword://never">never</a></div></div>
وابسته‌ به‌ ارائه‌	<div><div>presentational</div></div>
وابسته‌ به‌ شهردار	<div><div>mayoral</div></div>
وابسته‌ به‌ پیشدانی‌	<div><div>precognitive</div></div>
وابسته‌ به‌ کانون‌	<div><div><a href="bword://focal">focal</a></div></div>
واچیدن‌	<div><ol><li><div><a href="bword://undoing">undoing</a></div></li><li><div><a href="bword://ravel">ravel</a></div></li></ol></div>
واژه‌ ی‌ یونانی‌	<div><div><a href="bword://Hellenism">Hellenism</a></div></div>
ویژگی‌ فکری‌	<div><div><a href="bword://kink">kink</a></div></div>
پاسوری‌ کردن‌	<div><div><a href="bword://cordon">cordon</a></div></div>
پانسیون‌	<div><div><a href="bword://boardinghouse">boardinghouse</a></div></div>
پایانه‌	<div><ol><li><div><a href="bword://depot">depot</a></div></li><li><div><a href="bword://destination">destination</a></div></li><li><div><a href="bword://extremity">extremity</a></div></li></ol></div>
پرواز کردن‌ (عامیانه‌)	<div><div><a href="bword://skip">skip</a></div></div>
پستوی‌ تورات‌ در کنیسه‌	<div><div><a href="bword://ark">ark</a></div></div>
پس‌ و پیش‌ روی‌	<div><div><a href="bword://oscillation">oscillation</a></div></div>
پیچیدن‌ دور چوب‌	<div><div><a href="bword://furl">furl</a></div></div>
چاشتخواب‌	<div><div><a href="bword://catnap">catnap</a></div></div>
چتر دفاعی‌	<div><div><a href="bword://umbrella">umbrella</a></div></div>
چتر کندساز	<div><div><a href="bword://drogue">drogue</a></div></div>
چشم‌ بد	<div><ol><li><div><a href="bword://evil eye">evil eye</a></div></li><li><div><a href="bword://hex">hex</a></div></li></ol></div>
چندپاری‌	<div><div><a href="bword://segmentation">segmentation</a></div></div>
چیزخاستگر	<div><div><a href="bword://riser">riser</a></div></div>
ژاژستان‌	<div><div><a href="bword://chaparral">chaparral</a></div></div>
کار دشوار (خودمانی‌)	<div><div><a href="bword://stinker">stinker</a></div></div>
کار را برای‌ کسی‌ آسان‌ کردن‌	<div><div><a href="bword://spoon-feed">spoon-feed</a></div></div>
کشتیار شدن‌ با فروتنی‌	<div><div><a href="bword://beg">beg</a></div></div>
کشیده‌ شده‌ (خوب‌)	<div><div><a href="bword://fast">fast</a></div></div>
کم‌ (احتمال‌)	<div><div><a href="bword://outside">outside</a></div></div>
کنتور گاز	<div><div><a href="bword://gas meter">gas meter</a></div></div>
کوچک‌ (عامیانه‌)	<div><ol><li><div><a href="bword://jerkwater">jerkwater</a></div></li><li><div><a href="bword://pipsqueak">pipsqueak</a></div></li><li><div><a href="bword://small-time">small-time</a></div></li></ol></div>
گالوانومتر	<div><div><a href="bword://galvanometer">galvanometer</a></div></div>
گام‌ زنی‌ فضایی‌	<div><div><a href="bword://spacewalk">spacewalk</a></div></div>
گاو	<div><div><a href="bword://beef">beef</a></div></div>
گدا (عامیانه‌)	<div><div><a href="bword://panhandler">panhandler</a></div></div>
گزاف‌ (عامیانه‌)	<div><div><a href="bword://stiff">stiff</a></div></div>
گویشی‌	<div><ol><li><div>dialectal</div></li><li><div><a href="bword://lingual">lingual</a></div></li></ol></div>
گیل‌ (واحد اندازه‌ گیری‌ آبگونه‌ ها)	<div><div><a href="bword://gill">gill</a></div></div>
